,Overall_review,date,name,nationality,rating,review_times,tag
1045,5 star without in house coffee,"Reviewed: December 15, 2016",Brian,Australia,7.9,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1046,"Great location, lovely rooms","Reviewed: December 14, 2016",Angel,United States of America,10,1 review,"• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1047,"Amazing hotel on the nice part of the trip, really spacious...","Reviewed: December 14, 2016",Jude,Australia,9.6,2 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1048,The rooms are spacious and light and airy.,"Reviewed: December 11, 2016",Patricia,United States of America,10,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 3 nights"
1049,Could be great but some serious issues,"Reviewed: December 9, 2016",Mandi,United States of America,9.6,2 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1050,Exquisite stay!!,"Reviewed: December 8, 2016",Anonymous,United States of America,9.6,1 review,"• Leisure trip


• Solo traveler


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1051,Ok,"Reviewed: December 8, 2016",Karen,Ireland,10,3 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 5 nights


• Submitted from a mobile device"
1052,We were celebrating 2 birthdays and the staff was wonderful.,"Reviewed: December 7, 2016",Anna,Switzerland,9.2,27 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 4 nights"
1053,"Great stay, a little pricey for size of suite","Reviewed: December 6, 2016",Ailbhe,Ireland,10,6 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1054,The Venetian is always a wonderful experience.,"Reviewed: December 6, 2016",Kim,United Kingdom,9.2,14 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1055,Wonderful stay at Venetian,"Reviewed: December 6, 2016",Piyada,Thailand,9.6,12 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1056,Wonderful hotel,"Reviewed: December 6, 2016",Not,Israel,10,15 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 5 nights"
1057,It's the Venetian so I can't say a bad word!,"Reviewed: December 5, 2016",Rachel,United States of America,7.1,1 review,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1058,Loved it!,"Reviewed: December 5, 2016",Jason,United States of America,8.8,1 review,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights"
1059,A great stay at the Venetian,"Reviewed: December 5, 2016",Colin,United Kingdom,10,6 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1060,The Strip and the Venetian are even more beatiful when you don't gamble,"Reviewed: December 5, 2016",Tony,United States of America,9.2,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1061,Love the hotel. Nasty room service.,"Reviewed: December 5, 2016",Clayton,United States of America,9.6,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1062,Thoroughly Enjoyable Experience,"Reviewed: December 5, 2016",Linda,United States of America,10,1 review,"• Business trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1063,Brilliant overall.,"Reviewed: December 5, 2016",Nicola,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1064,Very nice room and kind and helpful staff throughout the...,"Reviewed: December 5, 2016",Mikey,United Kingdom,10,6 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights"
1065,Quality of property,"Reviewed: December 5, 2016",Fanjing,China,10,8 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1066,Room layout is excellent.,"Reviewed: December 3, 2016",Ahmed,United Arab Emirates,8.8,39 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights"
1067,"Suite was wonderful, roomy bathroom, comfy bed.","Reviewed: December 2, 2016",Gene,United States of America,9.2,1 review,"• Leisure trip


• Group


• Venetian Bella View Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
1068,One of the best hotels in vegas,"Reviewed: December 1, 2016",Weijia,Canada,8.8,2 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 3 nights"
1069,Fantasy！,"Reviewed: November 30, 2016",Roger,United Kingdom,9.6,4 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 5 nights


• Submitted from a mobile device"
1070,amazing hotel with all the facilities,"Reviewed: November 30, 2016",Ronan,United Kingdom,6.3,12 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1071,Great,"Reviewed: November 29, 2016",Delroy,United Kingdom,10,4 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 7 nights


• Submitted from a mobile device"
1072,very big,"Reviewed: November 28, 2016",Jessica,United States of America,10,2 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1073,Conference on last two days could not find anywhere to sit...,"Reviewed: November 28, 2016",Anonymous,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1074,"Beautiful Resort, Stuck Up Staff","Reviewed: November 27, 2016",Chevelle,United States of America,9.6,1 review,"• Family with young children


• 2 rooms


• Stayed 4 nights


• Submitted from a mobile device"
1075,We had an amazing week in Vegas loved everything about it 1st class love it love it,"Reviewed: November 27, 2016",Paul,New Zealand,9.6,24 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella View Suite with Two Queen Beds


• Stayed 5 nights


• Submitted from a mobile device"
1076,Time at Vegas,"Reviewed: November 27, 2016",Mike,United States of America,8.3,1 review,"• Leisure trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1077,Best hotel in vegas,"Reviewed: November 26, 2016",Brij,India,10,6 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1078,"Love the place ,extremely clean","Reviewed: November 26, 2016",Mehmet CAGLAR,Turkey,10,64 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1079,Fantastic place to stay,"Reviewed: November 26, 2016",Mike,United Kingdom,8.3,42 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1080,Phone rang 4 times at 4:30 am .,"Reviewed: November 25, 2016",Greg,New Zealand,10,3 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1081,Room was wxcellent,"Reviewed: November 25, 2016",Jeff,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1082,Everything is perfect .,"Reviewed: November 24, 2016",Sandra,United States of America,10,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1083,"Good place on the Strip, free valet parking is a plus","Reviewed: November 23, 2016",Michael,United States of America,9.6,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1084,Great time in Las Vegas,"Reviewed: November 23, 2016",Glenn,United States of America,8.8,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1085,FUN GETAWAY WEEKEND,"Reviewed: November 23, 2016",Kaye,United Kingdom,9.6,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury View Suite with a King Bed


• Stayed 6 nights


• Submitted from a mobile device"
1086,Great discount promotion!,"Reviewed: November 22, 2016",Andy_Yorkshire,United Kingdom,10,25 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1087,Beautiful place to splurge on for your wife,"Reviewed: November 21, 2016",Sen,United States of America,6.3,4 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights"
1088,Great stay at Venetian,"Reviewed: November 19, 2016",Daniela,United States of America,5.8,11 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1089,Perfect place to stay in Las Vegas,"Reviewed: November 19, 2016",Itay,Israel,8.8,7 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1090,Fantastic,"Reviewed: November 18, 2016",Holly,United States of America,9.6,2 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 4 nights


• Submitted from a mobile device"
1091,Clean hotel.,"Reviewed: November 18, 2016",Evangelina,United States of America,9.6,3 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1092,"When We turned the AC on , the smell inside the bedroom was...","Reviewed: November 17, 2016",Jadeamy90,United Kingdom,10,5 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1093,Excellent hotel in a great location,"Reviewed: November 17, 2016",Geraldine,United States of America,10,1 review,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1094,Very comfortable bed and spacious room.,"Reviewed: November 16, 2016",Mark,Ireland,8.3,12 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1095,It was a great place to visit as a couple and the staff was very friendly,"Reviewed: November 16, 2016",Queena,China,5.4,4 Reviews,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1096,"The rooms were immaculate, roomly and a beautiful bath","Reviewed: November 16, 2016",Jose,Spain,10,258 Reviews,"• Leisure trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1097,"keep up the good work, thanks!!","Reviewed: November 16, 2016",Erin,United States of America,9.2,3 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 2 nights"
1098,No Complaints,"Reviewed: November 14, 2016",Yakov,Israel,10,1 review,"• Leisure trip


• Couple


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1099,It's ok,"Reviewed: November 14, 2016",David,United States of America,7.5,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1100,Magnificent Room,"Reviewed: November 12, 2016",Aces,United States of America,10,2 Reviews,"• Business trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1101,"Bed was hard, pillows were flat.","Reviewed: November 12, 2016",Ali,United Arab Emirates,10,6 Reviews,"• Solo traveler


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
1102,Best experience in vegas,"Reviewed: November 12, 2016",Amanda,United States of America,10,1 review,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
1103,Great experience although extra charge few refreshments from fridge was a bummer,"Reviewed: November 10, 2016",Ann,United States of America,10,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 3 nights


• Submitted from a mobile device"
1104,Excellent stay!,"Reviewed: November 9, 2016",Jonathan,United States of America,10,1 review,"• Leisure trip


• Solo traveler


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1105,Every thing,"Reviewed: November 8, 2016",Manuel,United States of America,9.2,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1106,Bella suite,"Reviewed: November 8, 2016",Lisa,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1107,awesome!,"Reviewed: November 8, 2016",Sarah,United States of America,6.3,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1108,Cleaning service,"Reviewed: November 8, 2016",Rob,United Kingdom,9.6,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1109,Expensive.,"Reviewed: November 8, 2016",Curtis,United States of America,10,1 review,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1110,Amazing hotel!,"Reviewed: November 8, 2016",Gloria,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1111,Beautiful scenery,"Reviewed: November 7, 2016",Kathy,United States of America,9.6,2 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1112,Stunning hotel for our wedding stay,"Reviewed: November 7, 2016",Jezelyn,United States of America,10,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1113,Boys in vegas,"Reviewed: November 6, 2016",Rafael,Panama,5.8,1 review,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 7 nights


• Submitted from a mobile device"
1114,Everything St aff Rooms Casino Food the best,"Reviewed: November 6, 2016",Richard,United States of America,9.2,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1115,The spa and healthy food restaurant,"Reviewed: November 6, 2016",Chad,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1116,LOVE!,"Reviewed: November 6, 2016",Jerry,United States of America,9.6,2 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1117,They did not have the room I reserved and they charge me...,"Reviewed: November 6, 2016",Walter,Luxembourg,10,25 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1118,Great room/setting.,"Reviewed: November 6, 2016",Jane,New Zealand,9.6,19 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 3 nights


• Submitted from a mobile device"
1119,Amazing stay,"Reviewed: November 5, 2016",Altaf,United Kingdom,8.8,3 Reviews,"• Business trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1120,Great room and clean interior,"Reviewed: November 5, 2016",Anonymous,Spain,9.2,12 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights"
1121,Everything,"Reviewed: November 5, 2016",Aseem,India,4.6,4 Reviews,"• Business trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights"
1122,Great size room.,"Reviewed: November 3, 2016",Tanya,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1123,About $500,"Reviewed: November 3, 2016",A,Kuwait,7.9,7 Reviews,"• Business trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1124,room size and service,"Reviewed: November 1, 2016",David,United States of America,7.5,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1125,in room dinning is too late .,"Reviewed: November 1, 2016",Nicki,United Kingdom,9.6,9 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 5 nights


• Submitted from a mobile device"
1126,Awesome stay at a great hotel,"Reviewed: November 1, 2016",Micimacko1970,United States of America,10,4 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1127,Good stay,"Reviewed: November 1, 2016",Hartwig,Austria,8.3,17 Reviews,"• Business trip


• Solo traveler


• Venetian Luxury View Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1128,It was better than other the have stayed before,"Reviewed: November 1, 2016",Brenda,Canada,9.6,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1129,"Vast array of facilities, bars, restaurants !","Reviewed: October 31, 2016",Mark,United Kingdom,9.6,5 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights"
1130,Beautiful resort hotel,"Reviewed: October 31, 2016",Anonymous,Russia,9.2,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1131,Great hotel which gets you all you need in Vegas,"Reviewed: October 30, 2016",David,Canada,10,4 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1132,Hard to navigate at the beginning cuz property is huge,"Reviewed: October 30, 2016",Kent,United States of America,9.6,8 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1133,Excellent Hotel,"Reviewed: October 30, 2016",Carol,United Kingdom,10,4 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1134,The bed was like a cloud!,"Reviewed: October 30, 2016",David,United Kingdom,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights"
1135,awesome place,"Reviewed: October 30, 2016",Alona,Israel,10,26 Reviews,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1136,Amazing and luxurious stay!,"Reviewed: October 30, 2016",Linda,United Kingdom,10,2 Reviews,"• Leisure trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1137,First class,"Reviewed: October 30, 2016",Marco,United States of America,10,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1138,A memorable stay for a memorable occasion.,"Reviewed: October 29, 2016",Peter,United Kingdom,10,9 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1139,if you have to go to vegas - thats the place to stay,"Reviewed: October 28, 2016",Brad,United States of America,8.8,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1140,Definitely a must-visit hotel!,"Reviewed: October 28, 2016",Philip,Switzerland,9.6,11 Reviews,"• Leisure trip


• Solo traveler


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights"
1141,especially the decoration,"Reviewed: October 28, 2016",Charlotte,United Kingdom,10,5 Reviews,"• Leisure trip


• Couple


• Venetian Luxury View Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1142,Wonderful hotel in the middle of the strip.,"Reviewed: October 27, 2016",Stav,Israel,10,11 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights"
1143,Will try again,"Reviewed: October 27, 2016",Steve,United States of America,10,3 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1144,Great place to stay,"Reviewed: October 26, 2016",Rachel,United Kingdom,7.5,7 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1145,Lovely stay and amazing pools,"Reviewed: October 25, 2016",Thomas,United States of America,9.6,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1146,On of the best in Las Vegas,"Reviewed: October 25, 2016",Liran Ayda,Israel,10,14 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1147,Very satisfied stay,"Reviewed: October 25, 2016",Norma Lisette,Mexico,9,29 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1148,Wifi not good,"Reviewed: October 24, 2016",Francisco,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1149,Enjoyable stay,"Reviewed: October 24, 2016",Shontel M.,United States of America,10,2 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1150,"Good facilities, great location","Reviewed: October 24, 2016",Roger,United States of America,8.8,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1151,Excellent option for at least once in Las Vegas,"Reviewed: October 24, 2016",Gautam,India,10,4 Reviews,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1152,Great fun,"Reviewed: October 23, 2016",RND1611,Maldives,9.2,15 Reviews,"• Business trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1153,"Amazing, great location!","Reviewed: October 23, 2016",Derek,United Kingdom,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 5 nights


• Submitted from a mobile device"
1154,Bed could've been a little more comfortable,"Reviewed: October 23, 2016",Elizabeth,United States of America,10,4 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1155,Amazing !,"Reviewed: October 22, 2016",Oladayo,Canada,10,6 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 5 nights


• Submitted from a mobile device"
1156,Very convenient to the Sands Expo and luxury,"Reviewed: October 22, 2016",David,United Kingdom,9.6,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1157,Paradise visited !!,"Reviewed: October 21, 2016",Jason,United States of America,8.8,1 review,"• Leisure trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights"
1158,"Great rooms, clean, quiet.","Reviewed: October 21, 2016",Yuan,China,7.1,7 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night"
1159,Too quality,"Reviewed: October 20, 2016",Tiffanie,United States of America,9.2,4 Reviews,"• Leisure trip


• Group


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1160,"Had a great stay, great location and a fantastic city.","Reviewed: October 19, 2016",Michael,Canada,7.1,1 review,"• Business trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 5 nights


• Submitted from a mobile device"
1161,"Cool staff.  Restaurant staff very helpful, pleasant and efficient.","Reviewed: October 19, 2016",Kishore,India,8.3,8 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 1 night


• Submitted from a mobile device"
1162,low cost-effectiveness,"Reviewed: October 18, 2016",zff,China,7.1,6 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1163,Staff was extremely pleasant and helpful.,"Reviewed: October 17, 2016",Charmin,United States of America,10,8 Reviews,"• Business trip


• Solo traveler


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1164,View was bad considering how much I was paying per night.,"Reviewed: October 17, 2016",Richard,United Kingdom,9.2,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 7 nights"
1165,No coffee maker in room,"Reviewed: October 17, 2016",Robert,United States of America,10,9 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights"
1166,large room，comfortable bed,"Reviewed: October 17, 2016",Anonymous,United States of America,9.2,1 review,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1167,Love,"Reviewed: October 17, 2016",Roselia,United States of America,9.2,2 Reviews,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 2 nights


• Submitted from a mobile device"
1168,Lovely quality hotel,"Reviewed: October 16, 2016",Lynne,United Kingdom,9.2,1 review,"• Business trip


• Group


• Venetian Bella Suite with Two Queen Beds


• Stayed 7 nights


• Submitted from a mobile device"
1169,Staff went out of their way to make certain we were taken...,"Reviewed: October 16, 2016",Khalida,Kuwait,10,4 Reviews,"• Leisure trip


• Family with young children


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
1170,I will be back!,"Reviewed: October 16, 2016",Maria,United States of America,7.9,1 review,"• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night


• Submitted from a mobile device"
1171,Fantastic hotel,"Reviewed: October 16, 2016",Gordon,United Kingdom,10,1 review,"• Leisure trip


• Family with young children


• Venetian Bella Suite with Two Queen Beds


• Stayed 1 night"
1172,Great hotel fun to have the Venetian theme,"Reviewed: October 16, 2016",אורי,Israel,10,11 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit


• Stayed 2 nights


• Submitted from a mobile device"
1173,😍😍😍,"Reviewed: October 16, 2016",Jens,Denmark,9.6,10 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 2 nights


• Submitted from a mobile device"
1174,It was good,"Reviewed: October 16, 2016",Love Cruising,United Kingdom,10,11 Reviews,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 5 nights


• Submitted from a mobile device"
1175,Fantastic hotel with amazing facilities.,"Reviewed: October 16, 2016",Rick,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 4 nights


• Submitted from a mobile device"
1176,Amazing,"Reviewed: October 15, 2016",John,United States of America,10,1 review,"• Leisure trip


• Couple


• Venetian Luxury Suite with a King Bed


• Stayed 3 nights


• Submitted from a mobile device"
