,neg_review
303,"눉
Extremely disappointed with hidden mandatory charges of $30/day for the spa (which actually you had to pay a further 35$/day to even get access to). This is not something I would have minded paying for if the hotel were upfront about the costs - but rather it was something that was brought to my attention at check-in. 
The facilities e.g. pool etc. were used by everyone from other hotels so I fail to see why people wouldn't stay at cheaper hotel-casinos and just go to Caeser's during the day. 
Staff seemed confused about charges that were mandatory etc. Wifi was very patchy."
304,"눉
The wait lines to check in were very long and not enough staff to tend to people checking in."
305,"눉
I guess the only thing was..... nobody's bed has measured up to the beds at the Mirage!"
306,"눉
Massively noisy and crowded.Line for check in, one hour.
Extreemely high prices in the restaurants,confuse layout around  casinos."
307,"눉
It tooks at least 1 hour for parking, checking-in and reach the room with the luggage. is too big that  you are always in the middle of the casino and if you want to get back to your room you need to walk for a while. staff at the desk was a little bit rude."
308,"눉
There is some type of water transfer point in the locked cupboard in room 1040 in the Palace tower that generally stayed on all night. It was hard to get a decent sleep. Also there appeared to be workers completing Maintenance work above or below us during the day which was excessively loud so it meant the one day I could get an afternoon sleep in was impossible as I only had one full day to stay here. Other than that it was great."
309,"눉
Check in and check out staff was a big disappointment. Unfriendly and the least bit helpfull each time we spoke to them. Such a great Hotel which can do with some better customer service. A disappointing end to our stay as the check in and checking out was horrible."
310,"눉
Having to pay for extra devices when using wifi, and the breakfast options are quite expensive. The hotel in general is a bit overwhelming, with the huge lobby, long line for check in and the crowded casino downstairs, but after all it's Vegas!"
311,"눉
The restauraunts in the hotel can be quite exspensive."
312,"눉
A little confusing to find the elevator and the registration area for Nobu Hotel."
313,"눉
I did bot like being woken at 6 am each day by drilling and hammering. The hotel did not inform us on arrival that this work was ongoing. Booking.com have done nothing at all to help with this in fact they lied in saying that they had contacted the hotel. I made the booking with you so you have a responsibility to deal with this, Guest services at the hotel were patronising to say the least, This was meant as a treat but instead I may as well have stayed at home as I am up earlier with sleep disturbed by the construction site. Also be aware of the £200 deposit that we were not told about, also all three of the pools are dirty with no filtration running and leaves with floating around. Also we clearly come second in terms of service to convention customers."
314,"눉
Check-in (Maria). Took 1h, they couldn't find my reservation even after I provided booking reference number. Didn't say sorry for inconvenience."
315,"눉
Everything was either over priced or a trick to get you to pay more money. We paid for a pool view and only could see the pool if we stood on our tip toes and even then was a few cms of the pool. Majority of the staff were not helpful and were more in a rush then anything. The hotel had a very pretentious quantity over quality feel and by the end of it we just wanted to get out of there"
316,"눉
Renovation work meant we were woken up at 6.30am and asked to be moved to a different part of the hotel.
Air in casino gets way too smokey in the evening."
317,"눉
No coffee in room, unless you are willing to pay over 5 bucks for a couple of coffee 'pods'.  Guest reception is a nightmare. Long lines, minimal staffing."
318,"눉
Too much music blasting everywhere,even on the street."
319,"눉
We were very shocked about the main bedding.  It seemed rather old and worn.  It looked like something I'd anticipate at a low budget motel."
320,"눉
valet parking was a nightmare, people there were very confused as they were fully booked. took as an hour to get rid of the car. the previous two nights we stayed at the bellagio. rooms and view is comparable"
321," the flair of the bellagio is far more outstanding the the ceasars palace, wich reminded me on a mixture of disney land and macdonalds"
322,"눉
Had to aleays ask for stuff, had a room for 4 ppl and we were always given 1 max 2 towels unless we called and firet time it took about 45 mins for them to bring thrm up and the 2nd time i asked for an extra bed and 4 towels we didnt get any towels but we got only the bed bcz they have a charge for it.."
323,"눉
Having a mini suite in the palace tower I was most disappointed robes weren't provided. 
And even the most basic hotel almost always provides complimentary tea/coffee making facilities in the room so this was a big let down. We paid the $13 charge for the inroom coffee (4 cups) however my husband having a sweet tooth used all the sugar in the package for one cup. We requested extra sugar from housekeeping (while leaving a generous tip)  but this never came. In the end we took extra portions from the bellagio buffet - which was also better value."
324,"눇
I recommend Ceasar Palace for every person going to Vegas that want to enjoy vegas and a wonderful pool. There are other options on lower costs but the Caesar Palace is not only a place to stay is also to enjoy it. Highly recommended mainly because of the wonderful pool."
325,"눉
Was at Gordon ramsays restaurant within Ceasars Palace and they added a $46 gratuity without asking I would have thought a tip was a personal decision to make this was on top of a bill of $283 serving a mother father and four daughters"
326,"눉
The registration area too smoky. Smoke from casino. Line up to check in was too ooooo long. Just three agents at peak time"
327,"눉
We'd been offered a free 'upgrade' to a room in the Palace Tower when checking in. However, there was hammering and construction noise above the room from 7.15am, which we'd not been warned about when checking in. We phoned the house keeper and she said nothing could be done about it. The 'resort fee' was waived but this was a small recompense for the fact we couldn't sleep in due to the noise. Also, there was a 25-minute wait before checking in. Parking was VERY confusing: self-parking wasn't clearly sign-posted (we saw no signs anywhere for it), so we had to use the more expensive valet parking. Also, it's ridiculous that you have to pay for parking on top of the room price when the hotel/casino wouldn't get any visitors without parking! You can't even make a coffee in the room without paying. The restaurants on site are over priced (we went to Rao's, where we found the staff unfriendly and the food wasn't worth the $70 per head price tag.) This place is out to fleece guests for whatever it can."
328,"눉
During a reservation breakfast was include but  I didn't like that during a check in I found that breakfast isn't include in the room rate. On reception I got a answer that: order was made thru the booking.com so if you have any problem please speak with them. We are not provide breakfast it not include."
329,"눉
I am a seasoned traveler and have never experienced the nickle and dime fees I had at Caesars.  The fees for everything were ridiculous and for this reason I would hesitate to stay there again.  $13.00 pp if you want a coffee kit to use in the room Keurig is crazy. I didn't have a simple room I had a mini suite. 
$30 check in fee if you get there early. We are talking 2 hrs early, amazing how a room was available if you paid the fee."
330,"눉
1) Didn't like the Smoke in casino. But it was the same at every casino. 
2) We were told at the desk that we could check out late up until 2pm for a fee of $30. However when we called to put this in place we were told no. They did give us a courtesy late check out of noon. So that was helpful."
331,"눉
Smoking in the public areas and while we had a coffee machine in the room, it cost 13 dollars for a coffee tab."
332,"눉
This property is so large that it takes a very long time to get anywhere from your room. Also the layout of the main casino floor is very confusing."
333,"눉
I wish I had more access to coffee, as silly as that sounds. The coffee in the room was outrageously expensive. But I suppose that's what happens in Vegas!"
334,"눉
Don't go to 'Americano' which is the restaurant in the lobby.  It is way overpriced and food isn't good... with so may options in Vegas I'm surprised they keep such a poor restaurant in the lobby."
335,"눉
The first room they gave us was dirty, the sink in the bathroom was cloaked and the bathroom was floated after one shower. Some of the staff were rude and especially one of the managers."
336,"눉
Hotel is too big with poor directional signage. Pillows were horrible. Plastic cover made a crinkly noise when you move. Horrible! Loyalty desk handled traffic flow poorly."
337,"눉
Difficult access to room through the casino with luggage."
338,"눉
hotel debit your card without telling you, even when we specifically asked when checked in to not do that cause we watned to pay cash at the end
they take a card détails when checkin for ""autorisation"" but they will debit that card without telling you anything
first and last time in Caesar"
339,"눉
Got stung for $26 resort fee on check out increasing the the price to $190 a night - resort fees should be included in the room fee.
Difficult to find the way to the room.
My friends room has dirty water and he had to listen to loud drilling from 8am."
340,"눇
The entire staff from valet to security were amazingly helpful. They all greeted us with a sincere attitude everyday. The hotel has a great variety and quality of foods to choose from. And the beds were extraordinarily comfortable."
341,"눉
Furniture in room beat up.  Odd seating pieces in room that didn't match.  The tv in bathroom didn't work .  Two cleaning carts were left in our hallway both nights."
342,"눉
We came for a concert and not for gambling. We were placed at the Nuvo hotel (which is located inside Caesars Palace) and which we were told is an upgrade. Newer design but some out claustrophobic, and smell of cigarettes in room and all over the Caesars Palace. Next time we will choose a hotel where there is more differentiation between the casino area and the other ""free"" area. It was too hectic and smelly for us."
343,"눉
None. Our whole experience staying at Caesars Palace is faultless! 😃
Would happily stay here again in the near future."
344,"눉
The forum rooms are terrible , smoking and stale smell , the furniture was very bad and marked and in need of repair . The octavos rooms are excellent"
345,"눉
staff are not friendly , the valet scratched my car and they did not compensate me .. i will come back but i would never give my car to their valet again."
346,"눉
260 dollars for small room with no coffee set, view of the roof of adjacent building, no complementary Internet, hot water after 10 minutes, 25 dollars charge for using minibar fridge in my room to cool my own coke?! And it was upgrade to Nobu..."
347,"눉
You have to pay for wifi and late check-in time. They set as normal check out in the morning and you have to pay for extended check-out..every small steps are charged additionaly..."
348,"눉
Charging us15 per day for wifi and charging USD 13 to use the coffee machine in the room!  I complained at reception, got a 'manager' complained to him. Got nowhere. He wanted to talk about the fact that they don't yet charge for parking whereas MGM do!!!!!!"
349,"눉
Breakfast was hugely overpriced even with a $20 daily allowance included with our room. We paid around $90 for 2 people on the one and only time we dined in the hotel. Lots of places close by on the strip which are more reasonable"
350,"눉
The bathroom floor was not very clean.  Housekeeping did a poor job when our room was cleaned. Overall, the room made me not want to walk on the floor without shoes.  I would have expected better with"
351,"눉
Bell service man was visibly irritated with having to take everyone's bags. Didn't appreciate his attitude since he was the first person I talked to walking into the hotel. But all other staff were friendly and accommodating"
352,"눉
Cabinet door hinge was broken and never got fixed. Seems like something that would be addressed immediately for a resort of this caliber. Made it feel like a motel that didn't really care about what it looked like."
353,"눉
Renovations near our room were not disclosed in advance.  Work began as early as 6:30 a.m. And continued until about 6:00 p.m.  We couldn't rest in our room during the day because it was so noisy.  Disappointing."
354,"눉
I booked hotel with breakfast and hotel is not providing any. Breakfast in bufet cost 50+$.
I will ask for re-funding it.
I did not get room I booked, and reception tried to give me single bed with side bed instead of two bed room. Reception was very unprofesional."
355,"눉
Room requires maintenance, couches needed replacement and very dusty. Also, didn't like the heavy smoke smell having to walk a distance to where our lift was to enter the rooms. Didnt appreciate bookings.com inaccuracy on additional room rate charges and breakfast inclusions when this is not the case."
356,"눉
Extortionate mini bar prices ($7 for a bottle of water!) & no free coffee in the room."
357,"눉
The waiting staff were rude in the casino, refusing to provide us with a drink whilst gambling. The service at the bars was unacceptable, the few staff doing nothing ignored you & when they finally did serve you were unfriendly & some were rude."
358,"눉
The towers we stayed in are dated. For the rate we paid, we were a little disappointed with the room."
359,"눉
Our room was broken into, casinoe chips stolen and our hotel room door was malfunctioning. 
Also, I advised on check in we were arriving a day late. We were still charged for the night we missed, despite the check in person saying we would not."
360,"눉
We encounter rude staff members and were mistreated after spending a large sum of money inside the club Omnia. The room was also not as clean as expected. Hairs in the bathroom floor and shower."
361,"눉
Expensive at $253 per night doubleroom! And impersonalof course."
362,"눉
The check in process was an absolute nightmare. Firstly, with booking.com we bought 'breakfast included' however when we checked in we were told breakfast is not included. Instead we were given $10 voucher for each morning to spend at very limited outlets owned by Caesars palace. However none of these food outlets had breakfast items for $10 or less. So there was no way to buy breakfast with $10. The actual Ceasaes palace buffet costs $40 per person. We were not offered an apology or any solutions to this problem. In fact, the rude staff member told us ""you should sue bookings.com for false advertising"". Utterly disappointing. 
Secondly, when checked into our room and the disappointment continued. We were on the lowest floor in the oldest tower. Our window faced a brick wall. The room was old and small. Nothing like our expectations. We called reception to ask for a room change and we're told we would have to vacate the room and it could take up to 12 hours for another room to be ready. As it was 5pm this was not an option. Finally after speaking to the manager we were transferred to a slightly better room. 
Thirdly, as we paid the overpriced 'resort fee' we were offered wifi included. At check out we were charged 4X$14 charges for apparently a third device connected. We did not have any other devices except one phone each so this was impossible. After lining up at reception for 20 minutes this was finally replaced back on our card, of course with no apology. 
Overall your Caesars palace and booking.com experience was not only disappointing but heart breaking. I will never be recommending this hotel or website to anyone in the future."
363,"눇
Bed was very comfortable   Room was quiet even though we were by elevator.  Stayed in octavious tower.  Rooms nice but needed a little updating.  Very convenient to all areas of the hotel.  Would definitely stay again.   Food and restaurants pricey but good especially Gordon Ramsey's."
364,"눉
Price of food and drinks in property restaurants was high, but it's the same at the other casinos on the strip."
365,"눉
everything. The staff was very rude. They said they'll take 200$ deposit but they took 354$ deposit and not telling me the exact reason why ( saying they don't know why it took that much.. really?) & Now i look at my account and they took 190$ from my account for what reason?  i don't know :)"
366,"눉
Rooms need to be updated.  Very old in The Palace. Will not stay in that hotel again.  I like modern updated hotels."
367,"눉
Smoking in Casino"
368,"눉
I don't know if it's a Vegas thing, but housekeeping seem to just let themselves into your room any time they like. I'm talking 7am on the day you check out. They don't knock. Just walk straight in. And they did it constantly!
Also, if you're considering going to Omnia because of the incredible reviews, make sure you go on a night where the main room is open. Luckily, we asked the concierge how to get on the door list. If we hadn't, we would have forked out over $50 to go to the smaller, bland, nothing overpriced nightclub attached to Omnia.
Also also, the people working the retail stores in the hotel (not in the Forum shops) really have their hustle on. Beware. They have a quota to reach."
369,"눇
the casino had a terrible odor in the south side, near restaurants and parking garage. I had to walk by this daily. I almost threw up in my mouth the smell was so bad.  I would not have stayed at this hotel had I known they had this disgusting smell.."
370,"눉
Old old old. Needs some updating desperately! They upgraded us to a superior room. Goodness I don't know what our other room what have been like. Our sink handle was loose and had issues shutting off. The shower door was cracked. The light was burned out - which they replaced for us. No microwave. The fridge in room was useless- they stocked it with over priced alcohol and soda. It automatically charges you if it's moved so you can't even remove it to put your own water or left overs in it. The pool was closed. The check-in /out lines were incredibly slow. They staffed one person behind the desk and one person to stand by the line to tell you it was your turn. Just put them both behind the darn desk to move things along!!! We were charged 3x for the room so rather than dropping the key cards and going home we had to stand in that long slow line again just to be told they will not process all 3 charges. They just do that ""in case"" she said. Totally confusing and a waste of time."
371,"눉
Congested hotel.
U have to wait in lines for check in check out.
Because the hotel is so big and there are no directions to the lobby counters, it was a bit confusing check in"
372,"눉
Was disappointed with that you could not use the spa facilities as a guest/ had to pay extra. (Not the treatments I mean the Roman baths etc, I think as a paying guest you should not have to pay more for that)."
373,"눉
It was really a bad experience for the standing of this hotel. First of all we had our room 1h30 later. Secondly, it was not the good room. We had to change all our luggages by ourself and to go at the opposite of the hotel. I think for this kind of hotel people should do that for us. Finally, we spent the worst night ever because we had been wake up at 7am because of works in the hotel ! It's totally unexapetable ! The hotel is big and it's not a high season so I think they should close the part of the hotel with the works. We told the hotel for the terrible noise and they really didn't care. So I definitely not recommend this hotel !"
374,"눉
That you had to pass by the casino and get to inhale all the cigarette smoke on the way to your nonsmoking room."
375,"눉
Cesar's is starting to look dated compared to a few of the others,and it smells of smoke."
376,"눉
I thought the $60/person buffet was horrific. Don't go there.  I got the worst cut of UNCOOKED Rib Eye steak ever seen and when I asked them to cook it the chef's attitude was horrific"
377," they hate you unless you eat uncooked meat. Plus, the hide the beef so you can't see it. At $60, avoid this buffet and go to a nice restaurant"
378,"눉
It would have been nice to be informed that checkout is actually between 4-6pm and that there is an additional fee to check in early.  Also, by paying the $33 for an early check in it would have been nice to have an exact time we would have a room. We just waited around until 11am."
379,"눉
Staff were mostly off hand. Everything in the room has to be paid for, including the coffee and water - lifting anything off the tray means an automatic addition to the bill. The room was a bit tired and the towels shabby. The girls bringing drinks to people in the Casino looked bored and sometimes scruffy, their white 'togas' were poorly fitting and looked cheap. Disappointed, the hotel didn't live up to our expectations."
380,"눉
No correlation between the first price and the actual price. Many taxes and resort fee
The spa is for additional money!!!!
The ""complementary"" water cost 7 dollars."
381,"눉
I would suggest that they put wineglasses in the room. Simple boxes of peanuts  were $22 a bit ridiculous.   Small wine bottles in room very expensive and no wine glasses?   I would suggest they improve on the housekeeping.  Ice buckets were not emptied from the previous evening."
382,"눉
Nothing"
383,"눉
Massively overpriced for what you get, really disappointed that the pool area was closed and what was worse when I went to complain staff on reception weren't aware and just to top it off the ignorant reception supervisor just shrugged it off and said "" we always close it at this time of the year"" we stayed the previous night at the Aria hotel for half the money with heated outdoor pools, don't waste your money its massively overrated"
