,Name,Nationality,Date,Score,Topic,Tags,History reviews
307,Bjarni,Iceland,"Reviewed: November 18, 2017",7.9,Great service all over the place.,• Leisure trip• Group• Deluxe Resort King• Stayed 7 nights• Submitted from a mobile device,14 Reviews
308,Ali,United States of America,"Reviewed: November 15, 2017",9.6,You charged me more thanthe hotel site would have charged.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
309,Bill,United States of America,"Reviewed: November 14, 2017",7.5,The bed was uncomfortable but the food was great,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
310,Sumita,United Kingdom,"Reviewed: November 13, 2017",8.8,Great room (standard one was still large!,• Business trip• Solo traveler• Deluxe Resort King• Stayed 1 night,12 Reviews
311,Laura,Mexico,"Reviewed: November 10, 2017",10,I went with my 3 doughters I was celebreting my 75 aniversary,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 4 nights• Submitted from a mobile device,17 Reviews
312,Anonymous,China,"Reviewed: November 9, 2017",8.8,"Upgraded my stay to a higher floor, got an awesome view...",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
313,Julian,United Kingdom,"Reviewed: November 5, 2017",9.2,No water in room,• Business trip• Solo traveler• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,2 Reviews
314,Lee,United States of America,"Reviewed: November 3, 2017",10,It was luxurious and fun.,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
315,Anonymous,United States of America,"Reviewed: October 31, 2017",6.3,Not good.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,7 Reviews
316,Anonymous,United States of America,"Reviewed: October 28, 2017",7.9,drinks could have been less expensive,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
317,Stephen,United States of America,"Reviewed: October 26, 2017",10,We ate at several restaurants on location and food was...,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,2 Reviews
318,Tracy,United States of America,"Reviewed: October 25, 2017",9.6,Tableau restaurant was only subpar restaurant,• Couple• Panoramic View Double Deluxe• Stayed 2 nights• Submitted from a mobile device,14 Reviews
319,Anonymous,United States of America,"Reviewed: October 23, 2017",9.2,Good,• Leisure trip• Group• Resort Double Deluxe• Stayed 2 nights• Submitted from a mobile device,3 Reviews
320,Karl,United States of America,"Reviewed: October 20, 2017",10,It was our 25th anniversary - they upgraded us to a suite -...,• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
321,Paweł,Poland,"Reviewed: October 19, 2017",9.6,"Just a great Hotel, I reccomend it thoroughly",• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,7 Reviews
322,Manuel,United States of America,"Reviewed: October 18, 2017",10,Great staff and hotel very nice.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
323,Anonymous,Brazil,"Reviewed: October 16, 2017",10,“Perfect Standard! ... OutStanding!,• Leisure trip• Group• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,5 Reviews
324,Emma,United Kingdom,"Reviewed: October 12, 2017",10,Amazing stay - best hotel in Vegas.,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,3 Reviews
325,Kathryn,United States of America,"Reviewed: October 10, 2017",10,"Wonderful and relaxing, I am sorry what happened to the innocent in Vegas",• Leisure trip• Group• Resort Double Deluxe• Stayed 4 nights,1 review
326,Helena,Switzerland,"Reviewed: October 9, 2017",9.6,Luxorious Las Vegas,• Leisure trip• Couple• Tower Room• Stayed 2 nights• Submitted from a mobile device,19 Reviews
327,Anonymous,United States of America,"Reviewed: October 9, 2017",9.2,Everything was great but the bed was a little uncomfortable.,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
328,Gerald,United States of America,"Reviewed: October 6, 2017",8.8,Good food. Beautiful property,• Business trip• Couple• Deluxe Resort King• Stayed 2 nights,7 Reviews
329,Ahmed,Egypt,"Reviewed: September 28, 2017",10,Amazing,• Leisure trip• Couple• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,4 Reviews
330,Geoff,Canada,"Reviewed: September 28, 2017",9.6,Fantastic.  We will not be staying at any other hotel besides Wynn from now on.,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
331,Anonymous,United Kingdom,"Reviewed: September 27, 2017",9.6,Best hotel I have ever stayed in,• Leisure trip• Couple• Panoramic View Double Deluxe• Stayed 4 nights• Submitted from a mobile device,5 Reviews
332,Anonymous,Canada,"Reviewed: September 25, 2017",9.6,Very nice but pricey.,• Leisure trip• Group• Resort Double Deluxe• Stayed 3 nights,4 Reviews
333,Laurence,United States of America,"Reviewed: September 25, 2017",10,Very comfortable based and great interior,• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 4 nights• Submitted from a mobile device,1 review
334,Anonymous,United States of America,"Reviewed: September 24, 2017",9.6,"Beautiful Hotel
",• Business trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,2 Reviews
335,Kowoon,United States of America,"Reviewed: September 24, 2017",7.5,"Big bed room
",• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,17 Reviews
336,Henrik,Hungary,"Reviewed: September 22, 2017",10,This was the best hotel I ve ever been in my whole life,• Leisure trip• Couple• Resort Double Deluxe• Stayed 2 nights• Submitted from a mobile device,3 Reviews
337,Anonymous,United States of America,"Reviewed: September 21, 2017",10,"Beautiful facility, with incredibly attentive staff,...",• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
338,Anonymous,Switzerland,"Reviewed: September 20, 2017",6.7,"Mass hotel of higher standard at the end of the strip, good for one night to adapt to new time zone.",• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 2 nights,9 Reviews
339,Frederikke,Denmark,"Reviewed: September 20, 2017",10,It would have been cheaper booking the room through the Wynn...,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 1 night• Submitted from a mobile device,1 review
340,Anonymous,Brazil,"Reviewed: September 19, 2017",10,Top notch!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,22 Reviews
341,Myrian,United States of America,"Reviewed: September 19, 2017",7.5,"Even though the property was extremely nice, the price was exorbitant for what we received",• Leisure trip• Couple• Panoramic View Deluxe• Stayed 4 nights,1 review
342,Paul,United Kingdom,"Reviewed: September 17, 2017",9.2,Wonderful,• Leisure trip• Group• Parlor Suite• Stayed 4 nights• Submitted from a mobile device,5 Reviews
343,Inna,United States of America,"Reviewed: September 17, 2017",9.6,Great hotel!,• Leisure trip• Group• 2 rooms• Stayed 3 nights• Submitted from a mobile device,1 review
344,John,United States of America,"Reviewed: September 15, 2017",10,LOVED IT!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,5 Reviews
345,Anonymous,United States of America,"Reviewed: September 12, 2017",10,Best hotel I ever stayed at.,• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 3 nights• Submitted from a mobile device,1 review
346,Anonymous,United States of America,"Reviewed: September 10, 2017",10,Restaurants are very expensive,• Leisure trip• Group• Resort Double Deluxe• Stayed 2 nights• Submitted from a mobile device,1 review
347,Anonymous,United States of America,"Reviewed: September 9, 2017",9.2,Amazing,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
348,Anonymous,United States of America,"Reviewed: September 7, 2017",10,"Cousy room, cleanses, not noise, over all the property is...",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
349,Venkataraman,India,"Reviewed: September 6, 2017",7.9,A nice hotel in Vegas. Expensive but comfortable,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,7 Reviews
350,Iris,United States of America,"Reviewed: September 4, 2017",10,Highly recommend,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,2 Reviews
351,Abo Thamer MAB,United States of America,"Reviewed: September 1, 2017",8.3,Location & Luxury,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights,27 Reviews
352,ralph80s,Lebanon,"Reviewed: September 1, 2017",10,enjoyed that hotel so much ! I would repeat my stay there if possible !,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,9 Reviews
353,Anonymous,Switzerland,"Reviewed: August 31, 2017",8.8,Great hotel,• Leisure trip• Group• Salon Suite• Stayed 4 nights,39 Reviews
354,Dr.Aralale,United Kingdom,"Reviewed: August 30, 2017",9.2,Love it here!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,15 Reviews
355,Joanne,United Kingdom,"Reviewed: August 29, 2017",10,Amazing place to stay,• Leisure trip• Group• 2 rooms• Stayed 4 nights• Submitted from a mobile device,5 Reviews
356,Ana,El Salvador,"Reviewed: August 29, 2017",7.9,We liked everything in the hotel,• Business trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
357,Hind,Kuwait,"Reviewed: August 28, 2017",9.2,Amaaazing hotel,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,6 Reviews
358,Riannah,United Kingdom,"Reviewed: August 28, 2017",7.1,There were three of us in the room and only two wine glasses...,• Leisure trip• Group• Resort Double Deluxe• Stayed 3 nights• Submitted from a mobile device,3 Reviews
359,Angela,United States of America,"Reviewed: August 28, 2017",10,Amazing,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
360,Marti_Traveller,Italy,"Reviewed: August 25, 2017",9.6,The best hotel in LV!!!!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
361,Ayman,Saudi Arabia,"Reviewed: August 25, 2017",7.5,The need to more places for kids to play and witing area,• Leisure trip• Family with young children• 2 rooms• Stayed 3 nights• Submitted from a mobile device,18 Reviews
362,Norma,United States of America,"Reviewed: August 24, 2017",8.3,0k,• Couple• Deluxe Resort King• Stayed 1 night,1 review
363,Jean-benoit,France,"Reviewed: August 24, 2017",10,Best hotel in Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,36 Reviews
364,Sunil,United Kingdom,"Reviewed: August 24, 2017",9.6,Luxury,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 6 nights• Submitted from a mobile device,2 Reviews
365,Craig,Australia,"Reviewed: August 24, 2017",10,The best place to stay in Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,6 Reviews
366,Terry,United States of America,"Reviewed: August 22, 2017",10,Very relaxing,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,2 Reviews
367,AHX8,Malaysia,"Reviewed: August 21, 2017",9.6,Amazing,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,5 Reviews
368,Abdallah,United Arab Emirates,"Reviewed: August 20, 2017",10,great stay,• Business trip• Couple• Deluxe Resort King• Stayed 2 nights,3 Reviews
369,Linda,United States of America,"Reviewed: August 18, 2017",10,"I've stayed at them all, this is the Finest luxury hotel in Las Vegas",• Business trip• Group• Resort Double Deluxe• Stayed 4 nights• Submitted from a mobile device,2 Reviews
370,Kathryn,United States of America,"Reviewed: August 18, 2017",10,Lovely,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 5 nights• Submitted from a mobile device,1 review
371,Waleed,United States of America,"Reviewed: August 16, 2017",10,It was amazing,• Family with young children• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
372,Susanna,Austria,"Reviewed: August 16, 2017",8.8,Pool area is really nice!,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,26 Reviews
373,Wing,Hong Kong,"Reviewed: August 16, 2017",9.2,everything is good !,• Business trip• Solo traveler• Deluxe Resort King• Stayed 5 nights,29 Reviews
374,Fedya,Cyprus,"Reviewed: August 14, 2017",10,Absolutely perfect !,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,7 Reviews
375,Per,Sweden,"Reviewed: August 14, 2017",10,Great stay!,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,11 Reviews
376,Rashed,United Arab Emirates,"Reviewed: August 13, 2017",10,I loved it,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 5 nights• Submitted from a mobile device,5 Reviews
377,Ali,Bahrain,"Reviewed: August 12, 2017",10,I will be back,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
378,David,United Kingdom,"Reviewed: August 11, 2017",10,BRILLIANT!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,10 Reviews
379,Tomas,United States of America,"Reviewed: August 9, 2017",10,Nice,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
380,Ioannis,Oman,"Reviewed: August 8, 2017",7.9,Too big not to find something you enjoy,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,5 Reviews
381,Estela,United States of America,"Reviewed: August 6, 2017",5.0,Blah,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
382,David,United Kingdom,"Reviewed: July 31, 2017",10,Enjoyable and luxurious,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 7 nights• Submitted from a mobile device,1 review
383,Mum,Australia,"Reviewed: July 30, 2017",10,Surprisingly good for the family,• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 4 nights• Submitted from a mobile device,1 review
384,Sharon,United Kingdom,"Reviewed: July 29, 2017",9.2,The rooms and the view amazimh,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,8 Reviews
385,Jeffrey,United States of America,"Reviewed: July 29, 2017",9.2,Had a wonderful time. I'll be back!,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,6 Reviews
386,Muhannad,Saudi Arabia,"Reviewed: July 29, 2017",6.3,Nice clean hotel. Good location,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,14 Reviews
387,Michael Percy ,Malta,"Reviewed: July 26, 2017",10,"Extra comfy bed, great staff",• Business trip• Couple• Deluxe Resort King• Stayed 2 nights,7 Reviews
388,Gidon,Netherlands,"Reviewed: July 24, 2017",10,Grate,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,19 Reviews
389,Andrew,United Kingdom,"Reviewed: July 18, 2017",10,Everything,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 4 nights,3 Reviews
390,Clive,United Kingdom,"Reviewed: July 14, 2017",10,Great holiday excellent hotel,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
391,Georgina,United States of America,"Reviewed: July 13, 2017",10,beds were so soft and deluxe,• Leisure trip• Family with young children,4 Reviews
392,Anonymous,India,"Reviewed: July 5, 2017",8.8,Win..win at wynn,• Business trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 3 nights• Submitted from a mobile device,2 Reviews
393,chropractic,United States of America,"Reviewed: July 5, 2017",6.7,the colors,• Business trip• Solo traveler• Deluxe Resort King• Stayed 3 nights,4 Reviews
394,Agneta,Lithuania,"Reviewed: July 4, 2017",9.6,we liked all hotel design and room was very comfortable.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,8 Reviews
395,Ekaterina,Russia,"Reviewed: July 4, 2017",10,Super hotel,• Leisure trip• Travelers with friends• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,8 Reviews
396,Kyle,United States of America,"Reviewed: July 4, 2017",10,"Good value for money, friendly staff and great for business travel",• Business trip• Solo traveler• Deluxe Resort King• Stayed 7 nights,1 review
397,Seyni,United States of America,"Reviewed: June 29, 2017",10,Everything,• Business trip• Solo traveler• Panoramic View Deluxe• Stayed 4 nights• Submitted from a mobile device,1 review
398,Julian,United States of America,"Reviewed: June 28, 2017",10,"Great Hotel, Definitely Plan to Stay Again",• Leisure trip• Group• Resort Double Deluxe• Stayed 2 nights,1 review
399,Elizabeth,United States of America,"Reviewed: June 27, 2017",3.8,"Super noisy at all hours of the day, smelled like smoke",• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
400,Angus,United Kingdom,"Reviewed: June 27, 2017",6.7,not the best for a working trip,• Business trip• Solo traveler• Deluxe Resort King• Stayed 1 night,3 Reviews
401,Denise,United States of America,"Reviewed: June 26, 2017",8.8,The pool was awesome!,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 4 nights• Submitted from a mobile device,1 review
402,Leslie,United States of America,"Reviewed: June 24, 2017",7.5,No in-room coffee.,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
403,Anonymous,United Kingdom,"Reviewed: June 21, 2017",9.6,Wifi speed isn't great.,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 5 nights,1 review
404,Sunho,United States of America,"Reviewed: June 20, 2017",10,Best hotel in vegas,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,2 Reviews
405,Suzanne,United States of America,"Reviewed: June 20, 2017",10,First class hotel,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 1 night,37 Reviews
406,Sarah,United Kingdom,"Reviewed: June 19, 2017",10,Perfect suite and view,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night• Submitted from a mobile device,8 Reviews
407,Trina,United States of America,"Reviewed: June 19, 2017",10,Cleanliness,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,1 review
408,Jonathon,Australia,"Reviewed: June 18, 2017",10,Best Hotel I've Ever Stayed In,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,3 Reviews
409,Stav,Israel,"Reviewed: June 18, 2017",10,Great experience.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,8 Reviews
410,Fikret,Turkey,"Reviewed: June 18, 2017",8.8,After the Midnight they do night party at the pool its TOO...,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,2 Reviews
411,FRANK Yeee,Canada,"Reviewed: June 18, 2017",6.7,The booking from booking.,• Leisure trip• Group• 2 rooms• Stayed 1 night• Submitted from a mobile device,1 review
412,Paula,United Kingdom,"Reviewed: June 12, 2017",10,"Fantastic holiday, couldn't ask for more",• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
413,Paula,United States of America,"Reviewed: June 12, 2017",9.6,I would come back!,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
414,Kb,Hong Kong,"Reviewed: June 8, 2017",9.6,One of the very best resorts,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,12 Reviews
415,Anuj,India,"Reviewed: June 6, 2017",5.0,Comfortable,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 1 night• Submitted from a mobile device,1 review
416,Terri,United States of America,"Reviewed: June 6, 2017",10,The room was amazing!,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights,4 Reviews
417,Idan,Italy,"Reviewed: June 3, 2017",10,Amazing staying at Vegas!,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights,10 Reviews
418,Wu,United States of America,"Reviewed: May 31, 2017",10,Everything is perfect!,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 2 nights,1 review
419,Katharina,United States of America,"Reviewed: May 29, 2017",7.5,"Very accessible, quick check-in, great facilities, helpful...",• Leisure trip• Travelers with friends• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,7 Reviews
420,Tc,United States of America,"Reviewed: May 19, 2017",9.6,Would be back again,• Leisure trip• Family with young children• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 3 nights• Submitted from a mobile device,6 Reviews
421,Genevieve,United Kingdom,"Reviewed: May 19, 2017",10,Beats any other hotel in Las Vegas,• Leisure trip• Group• Resort Double Deluxe• Stayed 3 nights• Submitted from a mobile device,7 Reviews
422,nitzan_shmuel,Israel,"Reviewed: May 18, 2017",10,Amazing choice,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,7 Reviews
423,Nir,Israel,"Reviewed: May 15, 2017",9.2,Great!,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,14 Reviews
424,Anthony,United States of America,"Reviewed: May 15, 2017",10,Ant's solo trip,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
425,Tim Scorer ,United Kingdom,"Reviewed: May 15, 2017",9.6,Great place on the strip.,• Leisure trip• Group• Tower Room• Stayed 3 nights• Submitted from a mobile device,9 Reviews
426,Jarnpen,United States of America,"Reviewed: May 12, 2017",10,Vacation in Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,11 Reviews
427,Anonymous,United Kingdom,"Reviewed: May 12, 2017",10,Fantastic !,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,5 Reviews
428,Shahina,United States of America,"Reviewed: May 11, 2017",6.7,"pretty hotel, beautiful wedding location. But plan ahead if you want to eat.",• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,1 review
429,Anabeth,Australia,"Reviewed: May 10, 2017",10,Lovely!,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night,10 Reviews
430,Anabeth,Australia,"Reviewed: May 10, 2017",9.2,We will be back!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,10 Reviews
431,Anonymous,Poland,"Reviewed: May 6, 2017",7.9,Great aspirations dumped in DJs humm,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,42 Reviews
432,Ben,United Kingdom,"Reviewed: May 3, 2017",10,The Wynn is brilliant,• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 4 nights,2 Reviews
433,Fahad,Saudi Arabia,"Reviewed: April 26, 2017",6.3,"no coffee machine in room , the next room was smoking weed...",• Business trip• Solo traveler• Special Offer - Deluxe Resort King - Resort Credit• Stayed 7 nights,10 Reviews
434,Niina,Finland,"Reviewed: April 25, 2017",10,One of the best hotels ever,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
435,Hilary,New Zealand,"Reviewed: April 24, 2017",10,Wonderful Wynn,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,9 Reviews
436,Cécile,France,"Reviewed: April 23, 2017",7.9,Very beautiful hotel.,• Leisure trip• Travelers with friends• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,11 Reviews
437,Robert,United States of America,"Reviewed: April 22, 2017",10,Loved everything.,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
438,Noam,Israel,"Reviewed: April 21, 2017",10,Just perfect,• Business trip• Solo traveler• Deluxe Resort King• Stayed 3 nights,16 Reviews
439,Anonymous,Philippines,"Reviewed: April 20, 2017",9.2,Great place to be pampered!,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,2 Reviews
440,Mohammad,Kuwait,"Reviewed: April 15, 2017",9.2,The resort fees are ridiculous.,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,29 Reviews
441,Rudi,United Kingdom,"Reviewed: April 10, 2017",9.6,The Wynn is the place to stay,• Leisure trip• Group• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,7 Reviews
442,Wilma,Netherlands,"Reviewed: April 9, 2017",9.6,A dream come true !,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,50 Reviews
443,Sarah,United Kingdom,"Reviewed: April 1, 2017",9.6,Can't wait to go back!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,15 Reviews
444,Margaret,Ireland,"Reviewed: March 29, 2017",10,The maid service was excellent,• Leisure trip• Group• Panoramic View Deluxe• Stayed 5 nights• Submitted from a mobile device,8 Reviews
445,Melissa,United States of America,"Reviewed: March 28, 2017",10,Best little weekend getaway,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 3 nights• Submitted from a mobile device,1 review
446,Martin,United States of America,"Reviewed: March 28, 2017",10,If you haven't been  to Wynn means you don't love you,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
447,James,United Kingdom,"Reviewed: March 27, 2017",9.2,Wonderful hotel,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
448,Richard,United States of America,"Reviewed: March 25, 2017",7.5,"Soectacular hotel, modern, friendly with a lot of stores and good restaurants",• Leisure trip• Family with young children• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,3 Reviews
449,Janette,United Kingdom,"Reviewed: March 24, 2017",10,No coffee or tea in the room,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
450,Michael,United Kingdom,"Reviewed: March 21, 2017",8.8,Beautiful property great rooms.,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,10 Reviews
451,Ronald,United States of America,"Reviewed: March 21, 2017",10,👍,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,5 Reviews
452,Anonymous,Canada,"Reviewed: March 20, 2017",10,Wynn is a premier Vegas hotel.,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 3 nights• Submitted from a mobile device,1 review
453,Patrick,United States of America,"Reviewed: March 14, 2017",10,Great hotel,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 3 nights• Submitted from a mobile device,1 review
454,Jay,United States of America,"Reviewed: March 13, 2017",10,"A ""Wynner"" of a hotel in Vegas",• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
455,J,Canada,"Reviewed: March 8, 2017",7.5,Beautiful hotel and facilities,• Business trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
456,Michael,United States of America,"Reviewed: March 7, 2017",10,"Staff great, cleanliness the best, noise in the room from night club unacceptable",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,2 Reviews
457,Joe,United States of America,"Reviewed: March 6, 2017",10,Sweet and simple pleasures,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,2 Reviews
458,Frances,United States of America,"Reviewed: March 1, 2017",8.8,Standing at the long line for 30 minutes to check in.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,24 Reviews
459,Fionna,United States of America,"Reviewed: February 27, 2017",6.7,Clean,• Business trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
460,Amanda,Hong Kong,"Reviewed: February 25, 2017",8.3,Food venues very good quality,• Leisure trip• Family with young children• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 3 nights• Submitted from a mobile device,3 Reviews
461,Natalia,United States of America,"Reviewed: February 23, 2017",10,Flowers!,• Leisure trip• Group• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,2 Reviews
462,Glendy,United States of America,"Reviewed: February 22, 2017",9.6,Overall our stay was very pleasant,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 2 nights• Submitted from a mobile device,5 Reviews
